"11/29/2019, 10:26:58"
Center frequency,20.0971
""
freq,cplx data,fft centered
-125000.0,(13.561249-6.9713593j),0.11108491
-124949.9899979996,(13.904572-8.420944j),0.116799176
-124899.9799959992,(19.521713-9.231567j),0.108145826
-124849.9699939988,(19.235611-13.360977j),0.106113315
-124799.9599919984,(24.328232-8.888245j),0.11634053
-124749.949989998,(19.683838-13.494492j),0.1117777
-124699.9399879976,(21.238327-13.694763j),0.11621793
-124649.9299859972,(23.088455-14.715195j),0.108110726
-124599.9199839968,(21.076202-14.152527j),0.10655883
-124549.9099819964,(24.023056-13.427734j),0.10372682
-124499.899979996,(24.957657-17.900467j),0.112103894
-124449.8899779956,(23.889542-13.885498j),0.11170568
-124399.8799759952,(22.611618-15.478134j),0.11375186
-124349.8699739948,(24.175644-14.057159j),0.109649986
-124299.8599719944,(23.822784-14.715195j),0.1135075
-124249.849969994,(24.547577-14.810562j),0.11526671
-124199.8399679936,(21.162033-16.336441j),0.113283455
-124149.8299659932,(27.074814-17.547607j),0.111279
-124099.81996399279,(22.611618-14.600754j),0.108564496
-124049.8099619924,(25.41542-14.286041j),0.11167834
-123999.799959992,(25.949478-17.108917j),0.11365813
-123949.7899579916,(24.843216-17.271042j),0.11676454
-123899.7799559912,(24.194717-15.926361j),0.113076046
-123849.76995399079,(23.212433-15.468597j),0.117027335
-123799.7599519904,(24.261475-15.0203705j),0.12228533
-123749.74994999,(24.242401-13.532639j),0.114296526
-123699.7399479896,(24.204254-14.14299j),0.124875344
-123649.7299459892,(25.720596-15.897751j),0.12376603
-123599.71994398879,(26.073456-16.822815j),0.12143883
-123549.7099419884,(23.36502-14.6484375j),0.12848093
-123499.699939988,(24.309158-12.94136j),0.1227331
-123449.6899379876,(21.08574-13.32283j),0.12919177
-123399.6799359872,(24.433136-14.009476j),0.13285187
-123349.66993398679,(26.626587-16.908646j),0.12812439
-123299.6599319864,(23.74649-16.145706j),0.12680599
-123249.649929986,(25.062561-13.6089325j),0.12792769
-123199.6399279856,(24.251938-14.238358j),0.13636951
-123149.6299259852,(24.557114-15.487671j),0.1345285
-123099.61992398479,(25.491714-13.599396j),0.13786075
-123049.6099219844,(24.576187-14.925003j),0.13448927
-122999.599919984,(22.277832-16.231537j),0.14439118
-122949.5899179836,(26.61705-15.78331j),0.14237751
-122899.5799159832,(23.965836-14.2765045j),0.14447773
-122849.56991398279,(23.546219-14.219284j),0.15091123
-122799.55991198239,(26.311874-15.497208j),0.14806512
-122749.549909982,(22.907257-14.58168j),0.15144444
-122699.5399079816,(24.089813-16.098022j),0.1551578
-122649.5299059812,(21.829605-13.189316j),0.1610898
-122599.51990398079,(23.107529-14.123917j),0.15751207
-122549.50990198039,(24.414062-15.993118j),0.15907145
-122499.49989998,(23.19336-15.916824j),0.15957986
-122449.4898979796,(24.805069-15.306473j),0.16270366
-122399.4798959792,(24.385452-13.036728j),0.15815537
-122349.46989397879,(23.469925-14.467239j),0.1689166
-122299.45989197839,(24.166107-16.60347j),0.17043732
-122249.449889978,(25.00534-15.001297j),0.1618371
-122199.4398879776,(22.621155-14.2765045j),0.16806641
-122149.4298859772,(23.107529-14.753342j),0.16206507
-122099.41988397679,(23.612976-16.174316j),0.18228018
-122049.40988197639,(23.422241-16.965866j),0.18692996
-121999.399879976,(24.309158-16.98494j),0.18079132
-121949.3898779756,(22.34459-19.016266j),0.18932979
-121899.3798759752,(24.194717-15.3541565j),0.19934048
-121849.36987397479,(23.212433-15.411377j),0.19141263
-121799.35987197439,(24.347305-16.078949j),0.17545694
-121749.349869974,(24.97673-14.753342j),0.18857852
-121699.3398679736,(23.298264-16.059875j),0.19788013
